Vendor ID,Vendor,Count
1139,NaturalSoft Ltd ,14
1164,Network Instruments ,14
1204,"npm, Inc ",14
1388,QSM ,14
1424,ResMed ,14
1436,rlidwka ,14
1543,SMART Technologies ,14
1547,SMEAD Manufacturing Company ,14
1587,SPOK ,14
1740,Turning Technologies ,14
1920,ZVRS ,14
19,AccuMed ,13
44,Agency for Healthcare Research and Quality ,13
81,AMA NUCC ,13
113,Apache ,13
134,"Arcturus Technologies, Inc. ",13
162,Atlassian Software Systems ,13
188,Axway ,13
197,Baxter ,13
299,Centrify ,13
339,CodeHaus ,13
348,CommVault Systems ,13
379,"Critical Tools, Inc. ",13
437,Deque Systems ,13
462,DINO-Software ,13
474,"Document Storage Systems, Inc ",13
542,Empirisoft ,13
595,"FasterXML, LLC. ",13
648,Genuitec ,13
675,GRB ,13
757,"Imagine Products, Inc. ",13
890,jQuery Foundation ,13
946,LANDesk Software ,13
1021,MathWorks ,13
1034,Medflow ,13
1234,"Olympic Systems, Inc. ",13
1239,Omnicell ,13
1241,"On Site Systems, Inc. ",13
1248,Open API Initiative ,13
1285,PaperCut ,13
1326,Phonak ,13
1330,PICIS ,13
1334,Piriform ,13
1356,Premier Literacy ,13
1371,Provalis Research ,13
1378,"Purple Communication, Inc. ",13
1391,Quality Unit ,13
1392,Quatrex ,13
1396,Radiant Logic ,13
1399,Raize ,13
1415,Relm ,13
1428,RFC ,13
1654,TapeCalc ,13
1684,The Institute of Electrical and Electronics Engineers ,13
1712,Topaz Systems ,13
1730,Trimble ,13
1816,Vitria ,13
1829,Wacom ,13
1859,WHO ,13
1874,Wireshark.org ,13
1904,Zabbix SIA ,13
82,Amazon ,12
126,AppSense ,12
178,Avery ,12
206,Berkshelf Core Team ,12
213,Bill Pugh ,12
228,BlackBerry ,12
275,Camstudio.org ,12
284,Cardiocom ,12
285,CareFusion ,12
403,Dassault Systemes SolidWorks Corp. ,12
461,Digi-Trax Corporation ,12
523,Elaborate Bytes AG ,12
602,Felix Bohm ,12
609,FIREHOUSE Software ,12
666,"Good Technology, Inc. ",12
671,GraphPad Software ,12
752,IHTSDO ,12
782,Innovation ,12
828,"iText Group NV, iText Software Corp., iText Software BVBA ",12
865,JBoss ,12
882,Jon Schlinkert ,12
911,Karma ,12
929,KnowWare International ,12
990,M/Gateway Developments Ltd ,12
999,ManageEngine ,12
1058,MG-SOFT ,12
1131,National Institutes of Health - Research Services Branch ,12
1137,National Uniform Billing Committee ,12
1181,NIH ,12
1198,Notable Solutions ,12
1431,RICOH ,12
1460,RSMeans ,12
1502,Scribe Software Corporation ,12
1537,Sirona Dental Systems ,12
1552,SnapShot Technologies ,12
1577,"South River Technologies, Inc. ",12
1600,Stanford University ,12
1650,Talend ,12
1685,The jQuery Foundation ,12
1736,Trustwave ,12
1737,TSI Inc. ,12
1754,United States Postal Service ,12
1766,Unshiftio ,12
1862,Wi-Fi Alliance ,12
72,Allegion ,11
73,"Allin Cottrell, Wake Forest University ",11
91,Amion ,11
131,"Archon Systems, Inc. ",11
234,Blueforce Development ,11
254,Broderbund ,11
392,Cytel ,11
401,Dashwood Cinema Solutions ,11
411,DatStat ,11
495,Draeger Medical Inc. ,11
646,General Services Administration ,11
674,Gravograph ,11
708,Helios Software Solutions ,11
775,Informatics for Integrating Biology and the Bedside ,11
790,Insight Software Solutions ,11
864,Jayway ,11
878,JODA ,11
919,Key Metric Software LLC ,11
959,LexisNexis ,11
1086,Mirth Corp. ,11
1101,MongoDB Inc. ,11
1102,Moodle Pty Ltd ,11
1144,NCPDP ,11
1375,PTC ,11
1410,Red Gate ,11
1434,Riverside Publishing ,11
1494,ScheduALL/VizuAll Inc. ,11
1530,SigmaXL ,11
1545,SmartDraw Software ,11
1564,SonarSource ,11
1594,SQLite ,11
1633,"SupraVISTA Medical DSS, LLC ",11
1636,symplr ,11
1811,Visual Health Information ,11
1845,webSupergoo ,11
1902,YesLogic ,11
14,Abbott Laboratories ,10
25,Acro Software ,10
86,American Dynamics ,10
208,Best Access Systems (Stanley Security Solutions) ,10
273,Cambridge Electronic Design ,10
298,CenTrak ,10
300,Cerner Corporation ,10
351,ComponentOne ,10
353,Compumedics Neuroscan ,10
356,Computrition ,10
363,Co-Nexus ,10
367,Continua Health Alliance ,10
420,Dean Evans & Associates LLC ,10
439,DESI Telephone Labels ,10
555,ePadLink ,10
558,Epson ,10
571,Evan Tahler ,10
574,Evernote ,10
578,ExamSoft ,10
607,FileOpen Systems ,10
613,"FlexSim Software Products, Inc. ",10
617,Fluke Networks ,10
621,ForgeRock ,10
662,GN Resound ,10
682,GroupSystems ,10
688,GW Micro ,10
689,"GXS, Inc ",10
703,HeartMath ,10
704,Heat Software ,10
715,HID Global ,10
741,ICOM ,10
806,Intermec ,10
842,JAM Software ,10
886,Josh Junon ,10
916,Keith Rarick ,10
981,L-soft ,10
